"DATE","TRAJ","SHORT_TRAJ","AMP_TMP2M_mean","AMP_RH_mean","AMP_WS_mean","AMP_PREC_sum","O3_max","PM10","PM2.5"
1996-07-16,4,3,18.0921052631579,74.5526315789474,0.907894736842105,0.2,NA,NA,NA
1996-07-17,6,2,12.7186046511628,75.1162790697674,0.613953488372093,0,NA,NA,NA
1996-07-18,6,1,15.5,68.7142857142857,0.542857142857143,0,NA,NA,NA
1996-07-19,6,2,12.31,75.325,0.6625,0,NA,NA,NA
1996-07-20,6,2,12.2790697674419,68.1395348837209,0.767441860465116,0,NA,NA,NA
1996-07-21,6,3,11.9511627906977,68.6046511627907,0.441860465116279,0,NA,NA,NA
1996-07-22,1,3,12.9785714285714,67.8571428571429,0.571428571428571,0,NA,NA,NA
1996-07-23,1,2,17.0302325581395,66.8604651162791,0.630232558139535,0,NA,NA,NA
1996-07-24,2,4,19.5822222222222,66.7777777777778,1.63333333333333,0,NA,NA,NA
1996-07-25,2,1,12.6190476190476,88.6904761904762,0.526190476190476,3.1,NA,NA,NA
1996-07-26,2,1,15.6048780487805,76.8292682926829,0.431707317073171,0,NA,NA,NA
1996-07-27,5,2,18.6756097560976,72.5853658536585,0.702439024390244,0,NA,NA,NA
1996-07-28,2,1,17.6439024390244,79.6829268292683,0.429268292682927,0.5,NA,NA,NA
1996-07-29,2,1,20.0619047619048,74.4761904761905,0.404761904761905,0,NA,NA,NA
1996-07-30,5,1,17.2302325581395,88,0.37906976744186,1.6,NA,NA,NA
1996-07-31,9,2,16.706976744186,74.0232558139535,0.451162790697674,0,NA,NA,NA
1996-08-01,4,1,17.5880952380952,71.7619047619048,0.466666666666667,0,NA,NA,NA
1996-08-02,9,1,19.8619047619048,70.1666666666667,0.447619047619048,0,NA,NA,NA
1996-08-03,9,2,24.2,67.1428571428571,0.576190476190476,0,NA,NA,NA
1996-08-04,4,2,NA,NA,NA,0,NA,NA,NA
1996-08-05,6,2,NA,NA,NA,0,NA,NA,NA
1996-08-06,6,1,NA,NA,NA,0,NA,NA,NA
1996-08-07,9,3,NA,NA,NA,0,NA,NA,NA
1996-08-08,1,3,NA,NA,NA,0,NA,NA,NA
1996-08-09,2,2,NA,NA,NA,0,NA,NA,NA
1996-08-10,1,1,NA,NA,NA,0,NA,NA,NA
1996-08-11,1,1,NA,NA,NA,0,NA,NA,NA
1996-08-12,5,1,NA,NA,NA,0,NA,NA,NA
1996-08-13,5,5,NA,NA,NA,0,NA,NA,NA
1996-08-14,4,5,NA,NA,NA,0,NA,NA,NA
1996-08-15,3,1,NA,NA,NA,0,NA,NA,NA
1996-08-16,9,2,NA,NA,NA,0,NA,NA,NA
1996-08-17,9,2,NA,NA,NA,0,NA,NA,NA
1996-08-18,5,2,NA,NA,NA,0,NA,NA,NA
1996-08-19,1,3,NA,NA,NA,0,NA,NA,NA
1996-08-20,1,3,NA,NA,NA,0,NA,NA,NA
1996-08-21,1,1,NA,NA,NA,0,NA,NA,NA
1996-08-22,1,5,14.7,86.6296296296296,0.374074074074074,0,NA,NA,NA
1996-08-23,5,2,17.6866666666667,75.6,0.293333333333333,0,NA,NA,NA
1996-08-24,1,1,18.0153846153846,80.9487179487179,0.453846153846154,0,NA,NA,NA
1996-08-25,1,1,17.5644444444444,86,0.58,0,NA,NA,NA
1996-08-26,5,1,16.1642857142857,91.1428571428571,0.373809523809524,0,NA,NA,NA
1996-08-27,3,5,16.0605263157895,81.5,0.718421052631579,0,NA,NA,NA
1996-08-28,5,5,15.7704545454545,95.6363636363636,0.322727272727273,0,NA,NA,NA
1996-08-29,5,3,15.7923076923077,95.1794871794872,0.333333333333333,0,NA,NA,NA
1996-08-30,5,1,16.5611111111111,90.8055555555556,0.463888888888889,0,NA,NA,NA
1996-08-31,9,2,13.947619047619,88.3571428571429,0.407142857142857,0,NA,NA,NA
1996-09-01,9,2,12.9948717948718,90.8205128205128,0.166666666666667,0,NA,NA,NA
